"TOA5","1","CR1000X","5122","CR1000X.Std.03.02","CPU:TDG_191227_Enc.CR1X","49734","FWS2"
"TIMESTAMP","RECORD","FWS_Data(1)","FWS_Data(2)","FWS_Data(3)","FWS_Data(4)","FWS_Data(5)","FWS_Data(6)","FWS_Data(7)","FWS_Data(8)","FWS_Data(9)","FWS_Data(10)","FWS_Data(11)","FWS_Data(12)","FWS_Data(13)","FWS_Data(14)","FWS_Data(15)"
"TS","RN","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-09-20 21:02:00",2532,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.5C","Ua=098.2P","Pa=000984.5H","T=200920210143","La=29.0148040","N","Lo=105.8498340","E  ",""
"2020-09-20 22:02:00",2533,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.3C","Ua=097.6P","Pa=000985.1H","T=200920220145","La=29.0148010","N","Lo=105.8498390","E  ",""
"2020-09-20 23:02:00",2534,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.0C","Ua=097.8P","Pa=000985.6H","T=200920230145","La=29.0147630","N","Lo=105.8498490","E  ",""
"2020-09-21 00:02:00",2535,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.8C","Ua=094.0P","Pa=000985.8H","T=200921000145","La=29.0147830","N","Lo=105.8498640","E  ",""
"2020-09-21 01:02:00",2536,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.7C","Ua=094.1P","Pa=000985.8H","T=200921010145","La=29.0147770","N","Lo=105.8498470","E  ",""
"2020-09-21 02:02:00",2537,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.3C","Ua=094.3P","Pa=000985.7H","T=200921020144","La=29.0147920","N","Lo=105.8498340","E  ",""
"2020-09-21 03:02:00",2538,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.3C","Ua=095.2P","Pa=000985.6H","T=200921030143","La=29.0147680","N","Lo=105.8498700","E  ",""
"2020-09-21 04:02:00",2539,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.2C","Ua=094.6P","Pa=000985.2H","T=200921040142","La=29.0147730","N","Lo=105.8498430","E  ",""
"2020-09-21 05:02:00",2540,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.2C","Ua=094.8P","Pa=000985.0H","T=200921050144","La=29.0147480","N","Lo=105.8498580","E  ",""
"2020-09-21 06:02:00",2541,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.2C","Ua=095.0P","Pa=000984.7H","T=200921060144","La=29.0147620","N","Lo=105.8498280","E  ",""
